Wijk,Gem HR 1,rrData 1,Gem HR 2,rrData 2,Bloeddruk (Bovendruk) 1,Bloeddruk (Bovendruk) 2,Cholesterol 1,Cholesterol 2,Non-HDL 1,Non-HDL 2,Bloedsuiker 1,Bloedsuiker 2,BMI 1,BMI 2
,62.100002,1000,72.4,816,,,,,,,,,,
,61.3,1008,73,808,,,,,,,,,,
,60.9,1000,73.4,808,,,,,,,,,,
,62.4,912,73.4,816,,,,,,,,,,
,60.5,1072,73.700005,808,,,,,,,,,,
,60.100002,1016,74.8,776,,,,,,,,,,
,61,952,74.200005,824,,,,,,,,,,
,61.7,872,74.4,800,,,,,,,,,,
,64.200005,856,76,752,,,,,,,,,,
,62.9,1000,77.1,752,,,,,,,,,,
,63.100002,1128,78.200005,744,,,,,,,,,,
,62.4,1112,79.700005,720,,,,,,,,,,
,60.9,1048,78.700005,784,,,,,,,,,,
,61.7,944,78.8,760,,,,,,,,,,
,63.3,896,78.3,776,,,,,,,,,,
,63.5,936,77.5,792,,,,,,,,,,
,62.7,1080,75.9,832,,,,,,,,,,
,61.100002,1048,76.6,768,,,,,,,,,,
,60.600002,1008,76.1,800,,,,,,,,,,
,61.100002,880,76.9,760,,,,,,,,,,
,,,78,744,,,,,,,,,,
,,,78.5,752,,,,,,,,,,
,,,78.1,776,,,,,,,,,,
,,,78.1,768,,,,,,,,,,
,,,77.6,784,,,,,,,,,,
,,,76.200005,824,,,,,,,,,,
,,,76.8,768,,,,,,,,,,
,,,77,776,,,,,,,,,,
,,,77.3,768,,,,,,,,,,
,,,77.8,760,,,,,,,,,,
